rep_day,time_delta_minute
2018-10-01,9.0
2018-10-02,11.0
2018-10-03,9.0
2018-10-04,11.0
2018-10-05,13.0
2018-10-06,15.0
2018-10-07,18.0
2018-10-08,8.0
2018-10-09,9.0
2018-10-10,9.0
2018-10-11,7.0
2018-10-12,9.0
2018-10-13,13.0
2018-10-14,15.0
2018-10-15,8.0
2018-10-16,8.0
2018-10-17,8.0
2018-10-18,7.0
2018-10-19,16.0
2018-10-20,10.0
2018-10-21,12.0
2018-10-22,7.0
2018-10-23,9.0
2018-10-24,8.0
2018-10-25,7.0
2018-10-26,7.0
2018-10-27,10.0
2018-10-28,20.0
2018-10-29,9.0
2018-10-30,7.0
2018-10-31,8.0
